Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Description__c,Type__c
a061k000002pg6gAAA,0051k000002Vkr6AAC,,Technical Architect Certification,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-03-11T16:13:35.000+0000,2020-03-11T16:13:35.000+0000,"Certification Technical Architect The Salesforce Technical Architect possesses broad knowledge across multiple development platforms and draws on their skills and experience to assess customer requirements and architecture in order to design secure, high-",Certification
a061k000002pg6hAAA,0051k000002Vkr6AAC,,AppExchange,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6iAAA,0051k000002Vkr6AAC,,Apex,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T19:37:55.000+0000,2020-02-25T19:37:55.000+0000,"Apex is a strongly typed, object-oriented programming language that allows developers to execute flow and transaction control statements on the Lightning Platform server, in conjunction with calls to the API.",Salesforce Feature
a061k000002pg6jAAA,0051k000002Vkr6AAC,,APIs,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6kAAA,0051k000002Vkr6AAC,,Bots,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6lAAA,0051k000002Vkr6AAC,,Big Objects,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,A big object stores and manages massive amounts of data on the Salesforce platform. You can archive data from other objects or bring massive datasets from outside systems into a big object to get a full view of your customers. Clients and external systems,Salesforce Feature
a061k000002pg6mAAA,0051k000002Vkr6AAC,,Blockchain,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-03-10T13:33:17.000+0000,2020-03-10T13:33:17.000+0000,,Salesforce Feature
a061k000002pg6nAAA,0051k000002Vkr6AAC,,CDC (Change Data Capture),2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6oAAA,0051k000002Vkr6AAC,,Custom Objects,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6pAAA,0051k000002Vkr6AAC,,Data Mask,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6qAAA,0051k000002Vkr6AAC,,Einstein Language,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6rAAA,0051k000002Vkr6AAC,,Einstein Vision,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6sAAA,0051k000002Vkr6AAC,,employee experience bundle?,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6tAAA,0051k000002Vkr6AAC,,Einstein Voice Builder,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6uAAA,0051k000002Vkr6AAC,,Evergreen,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6vAAA,0051k000002Vkr6AAC,,Event Monitoring,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6wAAA,0051k000002Vkr6AAC,,External Objects,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6xAAA,0051k000002Vkr6AAC,,External Services,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
a061k000002pg6yAAA,0051k000002Vkr6AAC,,Field Audit Trail,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:40.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:41.000+0000,,2020-02-25T16:26:41.000+0000,2020-02-25T16:26:41.000+0000,,Salesforce Feature
