Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Description__c,Type__c,Key_Words__c,Cloud__c
a063F00000HmP3QQAV,0053F000008l8McQAI,,Technical Architect Certification,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:09:53.000+0000,0053F000008l8McQAI,2021-03-12T01:09:53.000+0000,,2021-03-12T01:09:53.000+0000,2021-03-12T01:09:53.000+0000,,Certification,,Platform
a063F00000HmP3RQAV,0053F000008l8McQAI,,AppExchange,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:06:51.000+0000,0053F000008l8McQAI,2021-03-12T01:06:51.000+0000,,2021-03-12T01:08:25.000+0000,2021-03-12T01:08:25.000+0000,,Salesforce Feature,,Platform
a063F00000HmP3SQAV,0053F000008l8McQAI,,Apex,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:06:51.000+0000,0053F000008l8McQAI,2021-03-12T01:06:51.000+0000,,2021-03-12T01:08:16.000+0000,2021-03-12T01:08:16.000+0000,,Salesforce Feature,,Platform
a063F00000HmP3TQAV,0053F000008l8McQAI,,APIs,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:06:51.000+0000,0053F000008l8McQAI,2021-03-12T01:06:51.000+0000,,2021-03-12T01:08:24.000+0000,2021-03-12T01:08:24.000+0000,,Salesforce Feature,,Platform
a063F00000HmP3UQAV,0053F000008l8McQAI,,Bots,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,,2021-03-12T01:08:38.000+0000,2021-03-12T01:08:38.000+0000,,Salesforce Feature,,Service
a063F00000HmP3VQAV,0053F000008l8McQAI,,Big Objects,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,,2021-03-12T01:08:27.000+0000,2021-03-12T01:08:27.000+0000,,Salesforce Product,,Platform
a063F00000HmP3WQAV,0053F000008l8McQAI,,Blockchain,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,,2021-03-12T01:08:29.000+0000,2021-03-12T01:08:29.000+0000,,Salesforce Product,,Platform
a063F00000HmP3XQAV,0053F000008l8McQAI,,CDC (Change Data Capture),2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,,2021-03-12T01:09:54.000+0000,2021-03-12T01:09:54.000+0000,,Salesforce Product,,Platform
a063F00000HmP3YQAV,0053F000008l8McQAI,,Custom Objects,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:06:51.000+0000,0053F000008l8McQAI,2021-03-12T01:06:51.000+0000,,2021-03-12T01:06:51.000+0000,2021-03-12T01:06:51.000+0000,,Salesforce Feature,,Platform
a063F00000HmP3ZQAV,0053F000008l8McQAI,,Data Mask,2021-03-10T21:02:23.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,0053F000008l8McQAI,2021-03-12T01:08:06.000+0000,,2021-03-12T01:08:51.000+0000,2021-03-12T01:08:51.000+0000,,Salesforce Product,,Platform
